"","V1","ParticipantCode","Other"
"1",0.865432229252395,"98eku7hk",4
"2",0.863944570668585,"wfeh0pi6",4
"3",0.904499261988291,"027156c3",4
"4",0.915165014448475,"xfea0bma",4
"5",0.858849971800347,"ornzkfx7",4
"6",0.775376252866983,"1vup6pbh",4
"7",0.887151512655478,"579jcdm7",4
"8",0.881141270813234,"jpubcjip",4
"9",1,"9v4hhlqw",4
"10",0.897737798704517,"6fia97r7",4
"11",0.880427159964626,"3fvt8cun",4
"12",0.882345279647738,"vpzy9ekv",4
"13",0.875776426119467,"51puq0c0",4
"14",0.899837114115128,"19ta5o5n",4
"15",0.919984692608917,"t4di9mzf",4
"16",0.902266839142711,"ytmp7lod",4
"17",0.914320919651765,"te4gtw5r",4
"18",0.913013162864756,"l1318zut",4
"19",0.882414489378736,"g5qcynby",4
"20",0.899542476344372,"wi5jeew6",4
"21",0.899967105950831,"o3hvm7pe",4
"22",0.901213252472161,"20ib0rz7",4
"23",0.713834363591539,"j6s1nkqt",4
"24",0.929441834104454,"kknjqt0t",4
"25",0.894639463218729,"o36reyew",4
"26",0.87623816378474,"rcce43lu",4
"27",0.822714830305087,"98eku7hk",5
"28",0.820744382624296,"wfeh0pi6",5
"29",0.887358979944716,"027156c3",5
"30",0.899524747170383,"xfea0bma",5
"31",0.798387073912102,"ornzkfx7",5
"32",0.744098297749029,"1vup6pbh",5
"33",0.881990337842242,"579jcdm7",5
"34",0.832698308859093,"jpubcjip",5
"35",0.882957326031249,"9v4hhlqw",5
"36",0.887477886927744,"6fia97r7",5
"37",0.864471219919577,"3fvt8cun",5
"38",0.88033820350815,"vpzy9ekv",5
"39",0.876959816127608,"51puq0c0",5
"40",0.859179589536411,"19ta5o5n",5
"41",0.883626815531442,"t4di9mzf",5
"42",0.869906256245347,"ytmp7lod",5
"43",0.901955805819541,"te4gtw5r",5
"44",0.872604394194359,"l1318zut",5
"45",0.879710923349302,"g5qcynby",5
"46",0.87401676742853,"wi5jeew6",5
"47",0.898960176753466,"o3hvm7pe",5
"48",0.893932160991439,"20ib0rz7",5
"49",0.690361984423436,"j6s1nkqt",5
"50",0.918309747111504,"kknjqt0t",5
"51",0.844789403087725,"o36reyew",5
"52",0.80443423921978,"rcce43lu",5
"53",0.908607715324393,"98eku7hk",6
